,DATE (YYYY/MM/DD),MST,Global CMP22 (vent/cor) [W/m^2],Direct sNIP [W/m^2],Azimuth Angle [degrees],Tower Dry Bulb Temp [deg C],Tower Wet Bulb Temp [deg C],Tower Dew Point Temp [deg C],Tower RH [%],Peak Wind Speed @ 6ft [m/s],Avg Wind Direction @ 6ft [deg from N],Station Pressure [mBar],Precipitation (Accumulated) [mm],Moisture,Albedo (CMP11),Cloud Type,Solar Zenith Angle,Snow Depth [cm]
85,22-01-2020,06:35,-0.898919,-0.004945,108.82324,4.889,-0.024,-6.724,39.97,4.95,282.5,810.883,0,0,0,0,13.76,0.36
86,13-02-2020,02:18,-0.856658,-0.321459,54.49593,-8.13,-8.394,-8.894,93.5,0,0,814.502,0,0,0,8,40.11,21.09
87,14-04-2020,20:18,-0.883838,-0.123645,300.92091,3.488,-1.838,-10.738,30.97,2.2,257.7,815.717,0,0,0,0,96.71,0.956
88,03-02-2020,12:59,157.291,1.18692,192.7171,-7.829,-8.156,-8.656,93,3.45,35.78,806.111,0,1,0.7448,4,142.01,2.416
89,30-07-2020,12:20,1016.08,902.601,188.29992,25.43,15.88,10.58,39.28,3.95,78.74,823.217,0,0,0.1676,7,82.39,0.474
90,25-02-2020,12:09,476.408,47.3083,178.42981,-5.27,-7.642,-13.142,49.85,9.45,28.57,824.134,0,0,0.236,0,107.43,3.421
91,25-12-2020,22:21,-1.37787,-0.29626,300.23626,6.663,-0.642,-13.642,19.08,4.45,289.1,815.049,0,0,0,8,76.19,0.384
92,30-12-2020,13:30,443.215,970.166,201.76029,4.887,-1.483,-12.983,22.92,1.2,134.8,814.237,0,0,0.5315,1,44.53,3.894
93,15-02-2020,03:56,-0.827836,-0.845681,77.00809,-4.121,-4.743,-5.843,86.3,0,0,815.295,0,0,0,4,101.63,14.11
94,02-06-2020,09:41,852.279,521.286,110.51819,27.24,13.103,2.503,20.23,4.2,48.35,820.469,0,0,0.1821,3,54.75,1.255
95,26-08-2020,18:45,3.8342,-0.009875,284.46509,22.21,14.893,10.793,48.35,0,0,818.848,0,0,0,7,115.73,-0.165
96,19-05-2020,21:41,-1.21147,0,325.35426,19.56,11.364,5.374,39.35,5.95,166.6,812.727,0,0,0,0,109.17,0.934
97,19-07-2020,14:32,780.322,453.257,249.0505,29.58,14.303,3.703,19.23,3.2,160.3,818.341,0,0,0.1767,6,61.64,1.017
98,29-04-2020,20:09,-1.14606,-0.356088,303.20981,15.89,6.473,-3.527,25.2,1.7,303.4,820.794,0,0,0,3,126.77,0.775
99,14-09-2020,18:18,-0.017287,-1.03197,275.77491,23.62,10.91,-0.16,20.67,3.2,75.26,822.254,0,0,0,6,27.95,-0.225
100,06-07-2020,22:54,-1.46754,-0.56289,341.64121,22.29,12.293,5.103,32.65,1.7,222.3,818.548,0,0,0,0,37.03,0.727
101,04-08-2020,22:06,-1.33126,-0.059252,327.38498,20.84,15.345,12.365,58.34,0.95,16.72,821.125,0,0,0,0,59.37,-0.127
102,28-02-2020,18:48,-1.02648,-0.331345,269.46265,8.04,0.773,-10.127,23.85,1.7,259.6,821.564,0,0,0,0,76.87,0.639
103,14-02-2020,02:26,-1.56056,1.7804,56.52456,3.333,-1.335,-8.535,38.07,1.95,280.3,812.734,0,0,0,8,37.24,19.91
104,02-05-2020,16:06,164.326,0.504453,264.66449,14.58,10.638,7.938,64.36,2.95,97.7,816.718,0,0,0.1829,4,52.18,1.138
105,24-04-2020,13:17,42.462,-5.78645,218.45612,9.32,5.703,2.303,61.47,5.95,19.77,817.847,0.254,1,0.1529,0,63.31,0.939
106,13-05-2020,05:50,53.6353,0.484671,74.45344,12.99,4.426,-5.674,25.31,3.45,268.1,808.996,0,0,0.1868,8,99.24,1.119
107,20-07-2020,14:05,888.135,889.744,241.23367,31.59,15.314,4.514,18.15,4.2,24.56,817.117,0,0,0.1843,0,171.17,0.861
108,08-02-2020,21:25,-0.281502,-1.1424,291.62718,0.251,-0.96,-2.36,80.7,3.45,76.94,808.599,11.43,0,0,4,106.41,14.29
109,23-04-2020,13:13,469.648,31.0839,216.4487,16.13,6.173,-4.827,22.22,5.2,286.4,810.733,0,0,0.1759,0,83.17,1.112
110,27-06-2020,04:40,4.56516,6.86335,59.05639,16.77,9.54,3.64,41.52,4.7,286.8,816.259,0,0,0,8,89.04,0.978
111,07-10-2020,05:10,-1.80573,-0.291321,88.33516,15.33,4.627,-9.773,15.2,1.45,289.1,820.778,0,0,0,0,110.92,-0.374
112,04-11-2020,21:10,-1.65446,-0.212319,294.3582,16.25,6.987,-2.703,26.4,4.45,286.2,825.451,0,0,0,0,63.49,0.047
113,12-08-2020,06:55,283.316,710.261,86.17401,19.35,10.185,2.785,33.23,1.45,99.1,819.871,0,0,0.2439,0,61.64,-0.449
114,25-05-2020,14:37,946.42,619.678,253.17345,14.88,8.16,2.16,42.18,2.7,85.9,818.016,0.508,0,0.1814,0,143.44,1.372
115,11-02-2020,12:38,692.433,1035.25,186.92509,-0.492,-3.749,-9.549,46.05,2.95,124.2,814.117,4.826,0,0.8257,0,93.99,25.51
116,29-10-2020,01:00,-1.28652,0.153068,37.75294,2.228,-0.163,-3.163,65.42,2.7,282.8,821.403,0,0,0,0,59.34,0.112
117,02-08-2020,09:44,674.184,383.797,115.32407,22.67,15.472,11.482,49.22,3.7,57.71,823.194,0,0,0.1717,1,116.6,0.364
118,29-12-2020,07:15,1.1261,0.686349,118.98019,-2.876,-3.628,-4.628,86.2,3.45,285.7,806.921,0,1,0,6,101.33,4.821
119,19-09-2020,20:06,-1.58816,-0.197497,293.26678,21.32,9.655,-1.045,22.09,2.7,286.3,816.312,0,0,0,7,54.92,-0.145
120,24-05-2020,00:56,-1.03423,-0.217259,15.45468,9.79,7.077,4.877,71.43,0,0,814.717,0,0,0,0,52.21,0.973
121,22-08-2020,02:00,-1.79031,-0.197506,34.20846,23.35,10.297,-1.583,18.67,3.2,287.1,817.712,0,0,0,8,125.76,-0.343
122,23-05-2020,03:00,-1.10109,-0.291324,44.09374,12.86,4.82,-4.28,28.76,0.95,258.4,809.606,0,0,0,6,45.78,0.841
123,10-11-2020,03:34,-1.21598,0.735714,82.88104,-5.143,-5.593,-6.393,89.8,1.45,280,808.951,0,0,0,0,17.5,3.382
124,29-04-2020,23:42,-0.972322,-0.321466,355.29375,12.59,5.168,-2.832,33.09,2.45,300.9,819.46,0,0,0,1,130.82,1.04
125,14-06-2020,20:14,-1.58306,-0.207382,309.15937,25.11,9.666,-6.134,11.42,3.7,291.1,814.443,0,0,0,9,133.73,0.665
126,08-01-2020,23:26,-0.887952,0.103854,330.28427,2.714,-1.959,-9.559,36.34,5.2,302.1,805.733,0,0,0,3,35.29,0.38
127,09-08-2020,23:25,-1.70258,-0.034563,348.04526,24.87,9.882,-5.018,12.75,0.95,308,818.79,0,0,0,4,161.98,-0.475
128,28-10-2020,06:45,40.2382,362.169,109.92736,3.045,-0.024,-3.914,57.92,3.45,288,816.422,0,0,0.8235,0,33.24,5.527
129,26-12-2020,06:02,-1.46618,-0.222196,108.42084,8.49,0.069,-15.431,14.28,0,0,812.184,0,0,0,2,59.2,0.498
130,13-03-2020,22:52,-0.624943,-0.039564,329.75562,-0.795,-1.206,-1.706,92.7,1.95,14.33,812.568,0.254,0,0,0,111.07,0.785
131,18-11-2020,15:49,129.298,594.51,236.16141,19.11,7.787,-3.903,19.92,1.95,22.59,811.957,0,0,0.2825,0,158.26,0.19
132,01-02-2020,04:30,-0.945034,-0.212656,87.25105,8.23,1.982,-6.018,33.75,7.95,273.4,818.795,0,0,0,0,135.06,0.455
133,17-05-2020,10:34,955.046,919.914,132.46668,16.53,10.336,5.736,48.82,2.7,66.07,817.697,0,0,0.1494,7,106.48,1.326
134,13-10-2020,14:19,534.15,934.44,225.11954,22.01,8.948,-4.052,16.45,2.2,90.1,817.818,0,0,0.2339,3,139.8,0.03
135,09-10-2020,22:14,-1.82953,-0.296256,321.23907,17.08,6.35,-5.85,19.16,2.7,287.9,817.574,0,0,0,7,60.09,-0.332
136,24-02-2020,15:58,336.417,887.009,239.70851,0.47,-4.54,-15.94,23.9,6.45,287.7,813.721,0,0,0.2737,0,158.72,4.021
137,16-09-2020,19:01,-1.50298,-0.212319,282.33306,17.58,9.953,3.763,39.79,1.45,290.2,825.474,0,0,0,1,119.66,-0.032
138,23-07-2020,06:33,131.081,5.09072,78.25375,23.47,12.827,5.337,30.9,1.7,279.9,818.422,0,0,0.2145,0,64.8,0.816
139,29-03-2020,04:55,-0.855478,-0.093964,75.72889,2.035,-2.713,-11.213,32.91,3.7,289.4,816.539,0,0,0,7,45.21,0.772
140,20-08-2020,16:31,123.838,0.148128,264.52389,27.4,15.207,7.807,29.01,1.2,255.4,816.413,0,0,0.1827,8,123.28,-0.163
141,17-08-2020,00:09,-1.6097,-0.098752,1.30501,21.01,11.894,5.294,35.78,1.45,285.1,826.611,0,0,0,8,130.27,-0.206
142,16-10-2020,12:24,692.789,924.586,192.2845,17.71,6.393,-6.807,16.95,2.7,262.8,816.469,0,0,0.218,6,54.17,-0.127
143,16-03-2020,18:09,1.34751,-0.262107,269.04578,6.391,3.533,0.433,65.61,4.7,34.69,818.547,0,0,0,1,36.67,0.781
144,29-06-2020,15:14,436.068,45.8015,261.97051,30.49,13.587,0.787,14.82,3.95,124.1,807.152,0,0,0.182,0,78.26,1.059
145,05-06-2020,15:52,182.135,1.41216,268.90918,29.76,13.636,1.536,16.31,4.7,119.2,814.93,0,0,0.1669,3,80.42,0.879
146,15-03-2020,16:20,209.482,211.117,250.42614,10.68,5.392,-0.108,47.11,2.45,49.23,817.13,0,0,0.1892,0,16.82,1.023
147,20-09-2020,11:51,369.978,3.56974,178.86594,22.41,12.969,6.569,35.88,1.2,109.3,819.581,0,0,0.1857,3,125.28,0.135
148,07-10-2020,12:35,714.953,834.533,196.00458,25.66,9.685,-7.415,9.89,2.45,122.6,820.307,0,0,0.2138,1,156.74,0.294
149,10-08-2020,17:27,81.6833,1.54054,275.83188,26.98,15.543,8.843,31.9,2.95,21.69,818.506,0,0,0.1528,2,74.44,-0.23
150,22-12-2020,19:38,-0.792117,0.08394,265.75357,2.43,-0.951,-5.451,53.07,13.2,256.3,802.034,0,0,0,4,112.31,0.446
151,23-12-2020,21:52,-0.982125,0.172819,291.4599,-4.83,-8.421,-19.521,26.43,6.95,282.9,818.082,0,0,0,3,117.83,0.26
152,28-05-2020,05:21,25.3265,0.582647,67.58539,11.63,9.865,8.665,82,0,0,823.428,0,0,0.1593,0,53.73,1.107
153,27-12-2020,10:54,464.365,989.596,162.7369,4.836,-1.455,-12.655,23.7,4.7,277.3,814.517,0,0,0.2401,3,110.95,0.37
154,04-01-2020,23:28,-0.784006,-0.400583,332.08042,7.495,0.521,-10.179,24.64,13.2,270.2,818.337,0,0,0,0,29.15,0.316
155,24-10-2020,22:04,-1.07871,-0.330821,314.03884,-1.528,-2.854,-4.754,76.17,3.95,25.56,815.384,0.508,0,0,8,166.35,0.036
156,29-06-2020,07:23,606.265,807.296,83.09746,22.75,11.428,2.628,26.67,0,0,807.534,0,0,0.2168,8,162.9,0.864
157,21-09-2020,14:08,247.018,1.58986,226.32783,27.23,12.335,0.135,17.07,1.95,20.07,819.72,0,0,0.1654,0,153.04,0.095
158,04-08-2020,06:08,63.7547,1.83185,76.94078,19.25,12.388,7.798,47.41,1.95,14.67,818.417,0,0,0.1781,0,84.9,-0.141
159,22-10-2020,02:37,-1.83752,-0.261695,65.23047,14.57,3.919,-10.781,14.59,1.95,273.7,808.67,0,0,0,0,64.22,-0.207
160,05-11-2020,13:09,552.569,967.233,203.85763,23.15,8.871,-6.429,12.52,3.45,139.1,822.994,0,0,0.2251,6,77.08,0.664
161,11-04-2020,01:51,-1.25887,0.089014,33.89299,11.09,2.862,-7.938,23.57,0.95,112.8,808.763,0,0,0,7,61.81,0.685
162,12-10-2020,08:40,458.752,930.914,126.672,16.29,5.291,-8.799,15.58,5.7,284.2,817.706,0,0,0.2398,7,118.16,-0.236
163,20-03-2020,15:30,306.342,2.34909,242.46768,-5.002,-5.049,-5.049,99.6,1.7,22.56,821.518,0.762,1,0.843,1,120.15,11.68
164,22-02-2020,03:08,-1.18501,-0.09891,64.7471,8.39,0.519,-12.381,19.02,0,0,817.539,0,0,0,7,94.05,9.27
165,03-06-2020,02:19,-1.19927,-0.187631,34.32403,17.86,10.358,4.558,41.34,1.95,286.4,820.253,0,0,0,0,68.72,0.826
166,07-06-2020,23:53,-0.892788,-0.385138,358.23016,17.3,10.24,4.85,43.71,6.7,17.74,807.312,0,0,0,1,96.2,0.808
167,08-06-2020,03:45,-1.0437,-0.212321,50.7455,11.41,7.92,5.04,64.85,1.7,285.1,810.253,0,0,0,1,160.18,0.846
168,13-09-2020,17:55,12.7042,-0.31107,272.33914,23.95,10.058,-3.142,15.8,1.95,19.08,822.89,0,0,0,7,62.44,0.051
169,24-08-2020,20:56,-1.7668,0,308.68275,27.93,13.941,4.141,21.82,1.45,275.9,819.166,0,0,0,0,90.43,-0.268
170,07-10-2020,16:40,92.7892,231.075,254.34191,24.8,9.492,-6.408,11.36,1.95,279.8,818.816,0,0,0.2125,7,144.84,-0.187
171,12-12-2020,05:32,-1.02933,0.429586,104.93334,-9.25,-9.574,-10.374,90.5,0,0,811.416,0,0,0,0,34.76,2.721
172,29-11-2020,05:21,-1.32356,0.212322,102.8312,-0.878,-4.5,-11.6,39.58,0.45,324.2,826.002,0,0,0,3,124.76,0.449
173,30-03-2020,13:23,242.159,1.0781,211.44643,10.68,3.69,-4.41,32.85,3.2,22.71,815.279,0,0,0.1686,4,28.95,0.932
174,17-03-2020,13:01,741.817,541.644,199.56155,9.08,5.51,2.02,61.22,3.2,12.53,811.364,0,0,0.1821,6,114.69,0.973
175,07-09-2020,00:46,-1.86726,-0.187629,16.24632,22.38,9.363,-3.137,17.38,1.7,284,818.068,0,0,0,3,146.55,-0.316
176,23-06-2020,07:00,395.853,805.705,79.72358,17.69,12.086,8.386,54.41,0.7,256.8,821.93,0,0,0.2239,7,87.97,0.756
177,19-05-2020,07:19,469.14,855.117,86.59712,18.42,11.467,6.567,45.89,0.7,131.1,814.895,0,0,0.2075,1,126.12,1.048
178,18-01-2020,23:03,-0.760176,-0.202765,317.92833,-2.571,-5.663,-12.263,42.94,0.45,340.4,824.673,0,0,0,4,61.55,0.226
179,05-02-2020,10:14,532.787,953.37,146.94503,-10.73,-11.892,-15.292,65.99,1.95,258.4,810.452,0,1,0.8835,7,77.09,13.26
180,26-08-2020,23:59,-1.50567,0.004938,358.97869,19.39,13.326,9.626,53.19,0.95,211.5,817.337,0,0,0,1,143.42,-0.13
